"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 08 02:04:31 WIB 2022","Thu Dec 08 02:04:47 WIB 2022","16018","","login","","login","Hendling Tutorial ","Hendling Tutorial ",""
"passed","Thu Dec 08 09:05:06 WIB 2022","Thu Dec 08 09:05:38 WIB 2022","31531","","login","","login","Handling Produk ","Handling Produk ",""
"failed","Mon Dec 12 16:24:50 WIB 2022","Mon Dec 12 16:25:50 WIB 2022","60009","","Journey Login Kebijakan Privasi","","Journey Login Kebijakan Privasi","as user i can see screen login and page Kebijakan Privasi","as user i can see screen login and page Kebijakan Privasi",""
"passed","Thu Dec 08 10:09:26 WIB 2022","Thu Dec 08 10:09:42 WIB 2022","15591","","login","","login","Handling Tutorial ","Handling Tutorial ",""
"passed","Fri Dec 09 14:51:12 WIB 2022","Fri Dec 09 14:51:12 WIB 2022","8","","Journey Permission","","Journey Permission","as user i can see screen Permission","as user i can see screen Permission",""
"passed","Fri Dec 09 16:34:41 WIB 2022","Fri Dec 09 16:34:56 WIB 2022","15517","","Homepage","","Homepage","Handling Permission","Handling Permission",""
"failed","Thu Dec 08 10:09:42 WIB 2022","Thu Dec 08 10:10:42 WIB 2022","60011","","login","","login","form login","form login",""
"passed","Fri Dec 09 14:51:04 WIB 2022","Fri Dec 09 14:51:04 WIB 2022","9","","Journey Shop","","Journey Shop","as user i can see screen Shop","as user i can see screen Shop",""
"passed","Fri Dec 09 14:51:20 WIB 2022","Fri Dec 09 14:51:20 WIB 2022","11","","Journey Welcome Homepage","","Journey Welcome Homepage","as user i can see screen Tutorial at homepage","as user i can see screen Tutorial at homepage",""
"passed","Fri Dec 09 14:45:57 WIB 2022","Fri Dec 09 14:45:57 WIB 2022","12","","Journey Home","","Journey Home","as user i can see screen Homepage","as user i can see screen Homepage",""
"passed","Mon Dec 12 14:40:38 WIB 2022","Mon Dec 12 14:40:56 WIB 2022","18230","","Journey Daftar","","Journey Daftar","as user i can see screen Daftar","as user i can see screen Daftar",""
"passed","Fri Dec 09 14:50:31 WIB 2022","Fri Dec 09 14:50:31 WIB 2022","10","","Journey Homepage","","Journey Homepage","as user i can see screen Homepage","as user i can see screen Homepage",""
"passed","Fri Dec 09 16:35:42 WIB 2022","Fri Dec 09 16:35:42 WIB 2022","2","","Homepage","","Homepage","as user i can see screen login","as user i can see screen login",""
"passed","Fri Dec 09 16:51:39 WIB 2022","Fri Dec 09 16:52:12 WIB 2022","32500","","Journey Login","","Journey Login","as user i can see screen login","as user i can see screen login",""
"passed","Thu Dec 08 10:09:12 WIB 2022","Thu Dec 08 10:09:26 WIB 2022","14670","","login","","login","Handling Permission","Handling Permission",""
"failed","Fri Dec 09 16:34:56 WIB 2022","Fri Dec 09 16:35:42 WIB 2022","46101","","Homepage","","Homepage","Handling Tutorial ","Handling Tutorial ",""
"failed","Thu Dec 08 02:04:47 WIB 2022","Thu Dec 08 02:05:47 WIB 2022","59732","","login","","login","Hendling Produk ","Hendling Produk ",""
"passed","Thu Dec 08 01:19:51 WIB 2022","Thu Dec 08 01:20:06 WIB 2022","14787","","login","","login","test pertama","test pertama",""
"passed","Fri Dec 09 14:50:56 WIB 2022","Fri Dec 09 14:50:56 WIB 2022","12","","Journey Service","","Journey Service","as user i can see screen Service","as user i can see screen Service",""
